age,assists,blocks,defensive_rebound,effective_field_goal_percentage,field_goal_attempts,field_goal_made,field_goal_percentage,free_throw_attempts,free_throw_made,free_throw_percentage,games_played,games_started,minutes_played,name,offensive_rebound,personal_fouls,points,position,ranking,steals,team,three_pt_percentage,three_pts_attempts,three_pts_made,total_rebound,turnover,two_pts_attempts,two_pts_made,two_pts_percentage
31,,,,,,,.393,,,.909,43,1,674,Dāvis Bertāns,,,,PF,41,,TOT,.380,,,,,,,.471
31,,,,,,,.385,,,.933,15,0,91,Dāvis Bertāns,,,,PF,41,,,.417,,,,,,,.000
24,11,0,16,.375,28,10,.357,0,0,,9,0,95,Jamaree Bouyea,3,10,21,PG,58,1,TOT,.111,9,1,19,9,19,9,.474
24,8,0,8,.238,21,5,.238,0,0,,6,0,57,Jamaree Bouyea,2,3,10,PG,58,0,,.000,8,0,10,8,13,5,.385
28,,,,.493,,,.427,,,.722,39,8,,Keita Bates-Diop,,,,SF,34,,,.313,,,,,,,.512
28,,,,.531,,,.500,,,1.000,14,0,,Keita Bates-Diop,,,,SF,34,,,.200,,,,,,,.636
31,,,,,,,.394,,,.889,28,1,583,Dāvis Bertāns,,,,PF,41,,,.375,,,,,,,.500
35,,,,,,,.417,,,.822,73,13,1462,Patrick Beverley,,,,PG,42,,TOT,.337,,,,,,,.490
24,3,0,8,.786,7,5,.714,0,0,,3,0,38,Jamaree Bouyea,1,7,11,PG,58,1,,1.000,1,1,9,1,6,4,.667
20,156,8,120,.506,628,271,.432,63,55,.873,75,29,1594,Malaki Branham,28,94,690,PG,59,27,,.347,268,93,148,91,360,178,.494
35,,,,.596,,,.453,,,.714,60,38,,Nicolas Batum,,,,PF,35,,TOT,.395,,,,,,,.606
35,,,,.500,,,.375,,,,3,0,,Nicolas Batum,,,,PF,35,,,.286,,,,,,,1.000
35,,,,,,,.432,,,.810,47,5,919,Patrick Beverley,,,,PG,42,,,.321,,,,,,,.523
35,,,,,,,.391,,,.852,26,8,543,Patrick Beverley,,,,PG,42,,,.361,,,,,,,.424
22,132,35,227,.525,483,222,.460,134,93,.694,82,4,1655,Christian Braun,79,137,600,SG,60,42,,.384,164,63,306,55,319,159,.498
,,,,,,,,,,,,,,,,,,,Rk,,,,,,,,,,
35,,,,.599,,,.456,,,.714,57,38,,Nicolas Batum,,,,PF,35,,,.399,,,,,,,.600
23,,,,.633,,,.600,,,.833,9,0,,Darius Bazley,,,,PF,36,,TOT,.250,,,,,,,.727
24,,,,,,,.416,,,.837,63,51,2062,Saddiq Bey,,,,SF,43,,,.316,,,,,,,.522
24,,,,,,,.603,,,.655,62,33,957,Goga Bitadze,,,,C,44,,,.143,,,,,,,.636
27,299,30,304,.521,1294,564,.436,317,258,.814,82,82,2854,Mikal Bridges,68,116,1606,SF,61,81,,.372,592,220,372,164,702,344,.490
